location_id,time,temperature_2m (째F),relative_humidity_2m (%),apparent_temperature (째F),dew_point_2m (째F),rain (inch),snowfall (inch),snow_depth (ft),weather_code (wmo code),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (mp/h),wind_direction_10m (째),wind_gusts_10m (mp/h),is_day ()
0,2019-01-01T00:00,40.1,65,32.8,29.2,0,0,0,1,1015.3,44,7.2,358,13.4,1
0,2019-01-01T01:00,38.2,65,31,27.5,0,0,0,2,1014.9,59,6.3,4,14.8,0
0,2019-01-01T02:00,37.2,72,30.2,29.1,0,0,0,1,1015.1,39,6.5,6,13.2,0
0,2019-01-01T03:00,35.5,81,29.5,30.1,0,0,0,0,1014.8,7,4.4,15,13.2,0
0,2019-01-01T04:00,33.9,85,28.2,30,0,0,0,2,1014,74,3.9,24,9.2,0
0,2019-01-01T05:00,32.9,87,27,29.5,0,0,0,0,1013.5,10,4,27,8.9,0
0,2019-01-01T06:00,32,88,26.1,29,0,0,0,0,1013.7,1,4,16,8.3,0
0,2019-01-01T07:00,31.5,87,25.5,28.2,0,0,0,0,1013.8,0,3.9,24,8.3,0
0,2019-01-01T08:00,31.4,85,25.2,27.5,0,0,0,0,1014,3,4.1,29,8.7,0
0,2019-01-01T09:00,30.2,87,24.3,26.9,0,0,0,0,1013.6,1,3.2,65,8.7,0
0,2019-01-01T10:00,28.4,89,21.9,25.6,0,0,0,2,1013.8,50,4.1,29,7.2,0
0,2019-01-01T11:00,28.6,91,22.8,26.3,0,0,0,3,1014.1,83,2.8,346,6.7,0
0,2019-01-01T12:00,27.8,96,21.5,26.7,0,0,0,2,1014.5,77,4.1,9,6.3,0
0,2019-01-01T13:00,27.2,96,21.1,26.2,0,0,0,1,1014.4,49,3.5,18,6.5,0
0,2019-01-01T14:00,27.5,96,21.6,26.6,0,0,0,2,1014.9,57,3.1,30,5.6,0
0,2019-01-01T15:00,27.7,96,22,26.6,0,0,0,1,1014.7,34,2.8,119,5.1,0
0,2019-01-01T16:00,28.4,95,23.1,27.1,0,0,0,3,1014.4,83,1.8,194,4.7,1
0,2019-01-01T17:00,29.6,93,24.3,27.9,0,0,0,2,1014.1,58,2.1,252,5.6,1
0,2019-01-01T18:00,33.5,85,28.2,29.3,0,0,0,2,1014.3,57,2.4,338,8.1,1
0,2019-01-01T19:00,36.3,75,31.2,29,0,0,0,1,1014.3,35,1.8,14,8.7,1
0,2019-01-01T20:00,38.6,69,34.1,29.3,0,0,0,2,1013.3,51,0.6,45,8.1,1
0,2019-01-01T21:00,40.4,64,35.7,29.3,0,0,0,0,1012.5,0,1.1,127,7.2,1
0,2019-01-01T22:00,41.4,62,36.6,29.5,0,0,0,1,1012.1,22,1.4,72,7.2,1
0,2019-01-01T23:00,41.5,62,36.5,29.5,0,0,0,3,1012.4,95,2,63,6.9,1
0,2019-01-02T00:00,38.1,75,33.5,30.7,0,0,0,3,1012.6,96,1.4,81,6,1
0,2019-01-02T01:00,37.4,76,33.1,30.5,0,0,0,3,1012.2,96,0.8,124,2.7,0
0,2019-01-02T02:00,36.7,78,32.3,30.4,0,0,0,3,1012.5,98,0.9,346,1.8,0
0,2019-01-02T03:00,35.6,81,31.2,30.3,0,0,0,3,1012.1,93,0.7,108,2.2,0
0,2019-01-02T04:00,33.3,86,28.7,29.7,0,0,0,3,1011.7,93,1.1,259,1.6,0
0,2019-01-02T05:00,28.5,93,22.4,26.8,0,0,0,3,1010.8,92,3.8,306,5.6,0
0,2019-01-02T06:00,28.5,94,22.5,27.1,0,0,0,3,1010.6,87,3.5,320,5.8,0
0,2019-01-02T07:00,31.1,93,25.8,29.3,0,0,0,2,1010,79,2.5,135,5.1,0
0,2019-01-02T08:00,31.2,93,26.7,29.4,0,0,0,3,1009.8,90,0.7,198,4,0
0,2019-01-02T09:00,27.8,95,22.6,26.6,0,0,0,1,1009.5,29,1.4,252,2.7,0
0,2019-01-02T10:00,29.8,91,24.6,27.5,0,0,0,1,1009.5,23,1.6,304,3.8,0
0,2019-01-02T11:00,26.6,94,21.1,25,0,0,0,0,1009.6,2,1.7,203,3.1,0
0,2019-01-02T12:00,29,98,23.9,28.5,0,0,0,1,1009.4,20,1.9,225,4.3,0
0,2019-01-02T13:00,29.1,100,23.9,29,0,0,0,3,1008.8,100,2,174,5.8,0
0,2019-01-02T14:00,28.9,99,23.9,28.7,0,0,0,3,1009,100,1.6,225,5.4,0
0,2019-01-02T15:00,29,99,24.3,28.6,0,0,0,3,1009,100,0.8,236,4.7,0
0,2019-01-02T16:00,28.7,99,23.6,28.4,0,0,0,3,1008.9,100,1.9,126,4.5,1
0,2019-01-02T17:00,29.6,95,24.5,28.4,0,0,0,3,1008.6,100,1.9,144,6.3,1
0,2019-01-02T18:00,31.5,92,26.5,29.5,0,0,0,3,1008.1,100,1.9,201,7.8,1
0,2019-01-02T19:00,33.5,89,28.5,30.7,0,0,0,2,1007.7,65,2.3,253,9.2,1
0,2019-01-02T20:00,36,84,31.2,31.7,0,0,0,3,1006.9,97,2.2,233,9.6,1
0,2019-01-02T21:00,39.9,76,34.7,32.9,0,0,0,3,1006.4,90,3.4,169,10.7,1
0,2019-01-02T22:00,42.6,69,37.3,33.1,0,0,0,3,1006,95,3.9,156,12.3,1
0,2019-01-02T23:00,42.8,69,37.1,33.1,0,0,0,3,1005.6,90,4.7,145,11.4,1
0,2019-01-03T00:00,38.1,79,33.1,32,0.004,0,0,51,1005.5,98,2.8,119,10.7,1
0,2019-01-03T01:00,37.5,75,31.7,30.4,0,0,0,3,1005,100,4.2,148,9.8,0
0,2019-01-03T02:00,38.4,71,33.5,30,0,0,0,3,1005.5,100,1.9,225,9.4,0
0,2019-01-03T03:00,37.9,75,33.1,30.7,0,0,0,3,1005.3,100,1.7,130,6,0
0,2019-01-03T04:00,37.9,76,32.5,30.9,0,0,0,3,1004.9,100,3.3,138,8.5,0
0,2019-01-03T05:00,38.1,74,32.1,30.4,0,0,0,3,1004.4,100,4.5,147,10.3,0
0,2019-01-03T06:00,40.1,65,32.9,29.3,0,0,0,3,1003.7,92,6.9,178,14.8,0
0,2019-01-03T07:00,41,64,32.9,29.9,0,0,0,3,1003.6,99,9.5,189,20.4,0
0,2019-01-03T08:00,41.6,71,33.7,32.8,0,0,0,3,1003.3,94,9.9,193,22.1,0
0,2019-01-03T09:00,42,75,34.6,34.7,0,0,0,3,1003.1,100,9.4,194,21.9,0
0,2019-01-03T10:00,42.8,77,35.1,35.9,0.004,0,0,51,1002.7,100,10.5,196,23.3,0
0,2019-01-03T11:00,43,78,35.2,36.7,0.004,0,0,51,1002.4,100,11.2,197,24.6,0
0,2019-01-03T12:00,41.2,85,34.8,37.2,0.008,0,0,51,1001.4,100,8.1,208,26.2,0
0,2019-01-03T13:00,42,85,34.8,37.7,0.008,0,0,51,1000.8,100,10.4,190,22.8,0
0,2019-01-03T14:00,41.9,88,34,38.6,0.02,0,0,53,1000.4,100,12.6,184,27.1,0
0,2019-01-03T15:00,40.9,96,33.1,39.8,0.016,0,0,51,1000.3,100,12.6,185,28.2,0
0,2019-01-03T16:00,41.9,90,34,39.3,0.012,0,0,51,1000.6,100,12.9,188,28.4,1
0,2019-01-03T17:00,43,90,35.8,40.3,0,0,0,3,1000.5,100,11.5,188,28,1
0,2019-01-03T18:00,44.5,89,37.6,41.4,0,0,0,3,1000.8,100,11.2,183,25.3,1
0,2019-01-03T19:00,45.7,86,38.8,41.7,0,0,0,3,1000.1,100,11.6,179,25.3,1
0,2019-01-03T20:00,47.4,79,40.3,41.3,0,0,0,3,999.3,100,11.9,182,25.9,1
0,2019-01-03T21:00,48.9,75,41.5,41.4,0,0,0,3,998.7,100,12.6,184,27.3,1
0,2019-01-03T22:00,49.3,75,41.9,41.8,0,0,0,3,998.5,100,12.8,187,28.4,1
0,2019-01-03T23:00,49.7,73,41.8,41.4,0,0,0,3,998,100,13.7,185,30.2,1
0,2019-01-04T00:00,50.3,71,43.4,41.1,0,0,0,3,997.1,100,11.2,185,31.8,1
0,2019-01-04T01:00,50.4,74,44.2,42.6,0,0,0,3,996.3,100,10.4,189,24.8,0
0,2019-01-04T02:00,48.4,78,42.3,42,0,0,0,3,996.1,99,9.9,175,23.7,0
0,2019-01-04T03:00,46.4,79,39.9,40.1,0,0,0,3,995.8,99,9.6,169,22.4,0
0,2019-01-04T04:00,46.7,73,39.4,38.4,0,0,0,3,995.9,100,11,176,24.6,0
0,2019-01-04T05:00,48.2,64,39.1,36.7,0,0,0,3,995.3,100,14.3,178,31.3,0
0,2019-01-04T06:00,48.2,60,38.1,34.7,0.004,0,0,51,994.6,100,15.8,187,35.3,0
0,2019-01-04T07:00,47.4,63,37.2,35.6,0.012,0,0,51,994.5,100,16.5,187,36,0
0,2019-01-04T08:00,45.5,79,35.8,39.5,0.031,0,0,53,995,100,17.1,191,37.6,0
0,2019-01-04T09:00,43.1,96,35.6,41.9,0.071,0,0,61,995.5,100,13,179,36.9,0
0,2019-01-04T10:00,43,96,35.3,41.9,0.039,0,0,55,995.8,99,13.6,181,30.2,0
0,2019-01-04T11:00,43.7,90,36.1,41,0.008,0,0,51,995.8,96,13,182,30.6,0
0,2019-01-04T12:00,44.6,94,37.6,43.1,0.016,0,0,51,996,97,12.5,178,30.9,0
0,2019-01-04T13:00,44,94,36.8,42.4,0,0,0,3,996,94,12.5,179,26.8,0
0,2019-01-04T14:00,43.2,92,36,41,0,0,0,3,996.8,95,11.9,185,26.8,0
0,2019-01-04T15:00,42.8,90,35.2,40,0,0,0,3,996.9,93,12.1,182,25.7,0
0,2019-01-04T16:00,42.8,86,35.4,39,0,0,0,3,996.8,93,11.2,181,25.7,1
0,2019-01-04T17:00,43.9,83,37.2,39.1,0,0,0,3,997.2,97,9.9,185,23.9,1
0,2019-01-04T18:00,46.1,80,40.3,40.2,0,0,0,3,997.1,97,8.2,189,21,1
0,2019-01-04T19:00,48.2,74,43.3,40.4,0,0,0,3,996.9,98,6.1,190,17.7,1
0,2019-01-04T20:00,49.6,69,44.1,39.9,0,0,0,3,996.6,100,7.2,196,17,1
0,2019-01-04T21:00,49.9,69,44.8,40.1,0,0,0,3,996.2,100,6.4,192,17.2,1
0,2019-01-04T22:00,49.9,70,45,40.5,0,0,0,3,995.9,97,6.1,176,15.4,1
0,2019-01-04T23:00,48.6,75,44.1,41,0,0,0,3,995.4,100,5.4,178,14.1,1
0,2019-01-05T00:00,47.7,86,45.3,43.8,0.004,0,0,51,995.4,100,2,96,11.9,1
0,2019-01-05T01:00,45.7,93,43.1,43.9,0.004,0,0,51,994.8,99,2.5,90,5.8,0
0,2019-01-05T02:00,44.6,96,42.3,43.6,0,0,0,3,994.2,99,1.6,8,5.1,0
0,2019-01-05T03:00,44,97,41.1,43.1,0,0,0,3,993.9,96,2.7,351,3.8,0
